,abstract_id,line_id,abstract_text,line_number,total_lines,target
151993,24445084,24445084_6_15,"PFWD via a 6-minute walking test , SMM via dual energy X-ray absorptiometry , and calpain activity via biopsies of gastrocnemius muscles were analysed .",6,15,METHODS
2531,24720703,24720703_13_16,"Reductions in the hemoglobin level were all of grade 1 or 2 ; reductions of grade 1 and 2 occurred in 47.5 % and 5.8 % , respectively , of the patients in group A , whereas grade 1 reductions occurred in 2.5 % of the patients in group B.",13,16,RESULTS
6166,24531027,24531027_0_14,To describe the incidence and outcomes of reoperations for glaucoma in the Tube Versus Trabeculectomy ( TVT ) Study .,0,14,OBJECTIVE
164072,25371291,25371291_8_15,"Overall , for the first 30 days after disbudding , if meloxicam was not used ' , veterinarian-disbudded calves grew faster than farmer-disbudded calves ( p = 0.002 ) .",8,15,RESULTS
55758,25208824,25208824_7_16,"An electroencephalographic ( EEG ) telemetry session will test safety of stimulation before randomization to staggered-onset , double-blind sham versus active stimulation for two months .",7,16,METHODS
82898,24798419,24798419_7_15,Intention-to-treat analyses were performed .,7,15,METHODS
168227,25139338,25139338_6_11,"At first on-study biopsy , 941 ( 14.7 % ) men had cancer .",6,11,RESULTS
32925,25227570,25227570_6_12,"In the intervention group , the dominnt proximal UE pain PR = 0.9 , 95 % CI 0.7 to 1.2 and the dominant distal UE PR = 0.8 , 95 % CI 0.5 to 1.3 , postintervention .",6,12,RESULTS
65018,24682378,24682378_8_11,"of fused segments ( OR : 1.472 ; p = 0.005 ) , preoperative hemoglobin level ( OR : 0.901 ; p = 0.001 ) , and the use of cell saver system ( OR : 0.133 ; p = 0.003 ) had a trend toward significance in predicting likelihood of transfusion .",8,11,RESULTS
143229,25312876,25312876_1_23,BC ( AS !,1,23,OBJECTIVE
70324,25697852,25697852_4_16,"A positive GEP 30 between 2 and 6 months , or 34 after 6 months , prompted a follow-up biopsy .",4,16,RESULTS
31371,24249538,24249538_1_19,We hypothesized that a less intensive followup protocol would not be inferior to the conventional followup protocol in terms of OS .,1,19,OBJECTIVE
54140,24760259,24760259_7_13,Twelve LD women ( 13 % ) developed GDM versus seven ( 8 % ) HD women ( P = 0.25 ) .,7,13,RESULTS
5972,24733515,24733515_5_17,"Adolescents were assessed at baseline before randomization and 2 , 5 , and 12 months after injury hospitalization .",5,17,METHODS
44661,24528987,24528987_10_12,"Average cost for one patient was $ 645 232 in the TC group versus $ 1,260 204 in the TO group ( P < 0.001 ) .",10,12,RESULTS
9889,24315882,24315882_9_13,The ramosetron group had significantly higher monthly rates of relief of overall IBS symptoms and IBS-related quality of life than the placebo group .,9,13,RESULTS
86518,24336297,24336297_10_13,Intravitreal bevacizumab and triamcinolone are both equally effective in reducing CSRT in early DME .,10,13,CONCLUSIONS
44195,24643486,24643486_6_8,Obesity prevalence did not change .,6,8,RESULTS
117481,24786192,24786192_0_11,The mammalian skin is a barrier that effectively separates the water-rich interior of the body from the normally dryer exterior .,0,11,OBJECTIVE
103412,24521629,24521629_8_10,"By increasing HDL-C values , niacin was found to be most effective in reduction of 10-year CHD-RP ( P < 0.001 ) , followed by fenofibrate ( P = 0.010 ) , while atorvastatin had no effect .",8,10,RESULTS
30630,24709499,24709499_7_15,"After using Xuebijing injection , T3 body temperature and the T3-T1 temperature difference in treatment group were significantly lower than those of the control group ( 36.700.37 centigrade vs. 37.380.47 centigrade , t = 6.199 , P = 0.000 ; 0.070.50 vs. 0.850.58 , t = 5.598 , P = 0.000 ) .",7,15,RESULTS
12482,24683774,24683774_12_14,( p < 0.001 ) .,12,14,RESULTS
41489,25329821,25329821_5_12,"After one year of treatment , blood creatinine was 0.0130.006 mg/dL higher on average among participants randomized to calcium compared to placebo after adjustment for other determinants of creatinine ( P = 0.03 ) .",5,12,RESULTS
36778,25363175,25363175_4_11,The patients were randomly divided into 3 groups .,4,11,METHODS
132358,25410432,25410432_5_9,Nineteen students attended clinic and 17 did not .,5,9,RESULTS
131299,25038355,25038355_12_17,"Occurrence of preterm birth , congenital anomalies , and growth throughout the first year of life did not differ significantly for infants born to women who received PrEP vs placebo .",12,17,RESULTS
